id_muni2020,year,name_muni2020,pop_total,pop_age20_39,pop_ageunknown
8443,1980,茨城県 稲敷郡 阿見町,16724,5181,2
8447,1980,茨城県 稲敷郡 河内町,5816,1442,NA
8521,1980,茨城県 結城郡 八千代町,11542,3091,NA
8542,1980,茨城県 猿島郡 五霞町,4324,1275,NA
8546,1980,茨城県 猿島郡 境町,12922,3819,NA
8564,1980,茨城県 北相馬郡 利根町,7258,2401,NA
9201,1980,栃木県 宇都宮市,206629,68438,NA
9202,1980,栃木県 足利市,84484,24998,1
9203,1980,栃木県 栃木市,86182,25531,NA
9204,1980,栃木県 佐野市,63612,18281,NA
9205,1980,栃木県 鹿沼市,49026,13887,NA
9206,1980,栃木県 日光市,49642,13484,NA
9208,1980,栃木県 小山市,63277,20726,NA
9209,1980,栃木県 真岡市,34867,10436,NA
9210,1980,栃木県 大田原市,35593,9887,NA
9211,1980,栃木県 矢板市,16534,4836,NA
9213,1980,栃木県 那須塩原市,43177,13609,NA
9214,1980,栃木県 さくら市,17760,5053,NA
9215,1980,栃木県 那須烏山市,17217,4250,NA
9216,1980,栃木県 下野市,21990,7141,NA
9301,1980,栃木県 河内郡 上三川町,11312,3574,3
9342,1980,栃木県 芳賀郡 益子町,11222,3160,3
9343,1980,栃木県 芳賀郡 茂木町,10242,2226,NA
9344,1980,栃木県 芳賀郡 市貝町,5254,1273,NA
9345,1980,栃木県 芳賀郡 芳賀町,8443,2200,NA
9361,1980,栃木県 下都賀郡 壬生町,17549,5844,4
9364,1980,栃木県 下都賀郡 野木町,8315,2670,NA
9384,1980,栃木県 塩谷郡 塩谷町,7701,1949,NA
9386,1980,栃木県 塩谷郡 高根沢町,11563,3249,NA
9407,1980,栃木県 那須郡 那須町,13473,3493,NA
9411,1980,栃木県 那須郡 那珂川町,11564,2678,NA
10201,1980,群馬県 前橋市,159151,48670,NA
10202,1980,群馬県 高崎市,163817,50958,NA
10203,1980,群馬県 桐生市,76509,21521,NA
10204,1980,群馬県 伊勢崎市,80751,24022,NA
10205,1980,群馬県 太田市,87864,27896,NA
10206,1980,群馬県 沼田市,28860,7807,NA
10207,1980,群馬県 館林市,35964,11135,1
10208,1980,群馬県 渋川市,45189,12908,NA
10209,1980,群馬県 藤岡市,32288,9364,NA
10210,1980,群馬県 富岡市,27288,7670,NA
10211,1980,群馬県 安中市,31972,8543,NA
10212,1980,群馬県 みどり市,22354,6841,NA
10344,1980,群馬県 北群馬郡 榛東村,4809,1460,NA
10345,1980,群馬県 北群馬郡 吉岡町,5753,1686,NA
10366,1980,群馬県 多野郡 上野村,1162,197,NA
10367,1980,群馬県 多野郡 神流町,2777,526,NA
10382,1980,群馬県 甘楽郡 下仁田町,7772,1768,NA
10383,1980,群馬県 甘楽郡 南牧村,3048,510,NA
10384,1980,群馬県 甘楽郡 甘楽町,7057,1879,NA
10421,1980,群馬県 吾妻郡 中之条町,11526,2763,NA
10424,1980,群馬県 吾妻郡 長野原町,3638,926,NA
10425,1980,群馬県 吾妻郡 嬬恋村,5414,1405,NA
10426,1980,群馬県 吾妻郡 草津町,4780,1303,NA
10428,1980,群馬県 吾妻郡 高山村,2109,481,NA
10429,1980,群馬県 吾妻郡 東吾妻町,10235,2397,NA
10443,1980,群馬県 利根郡 片品村,3149,745,NA
